din_medicao,00_00,00_30,01_00,01_30,02_00,02_30,03_00,03_30,04_00,04_30,05_00,05_30,06_00,06_30,07_00,07_30,08_00,08_30,09_00,09_30,10_00,10_30,11_00,11_30,12_00,12_30,13_00,13_30,14_00,14_30,15_00,15_30,16_00,16_30,17_00,17_30,18_00,18_30,19_00,19_30,20_00,20_30,21_00,21_30,22_00,22_30,23_00,23_30,Usina,EstacaoAno,INVERNO,OUTONO,PRIMAVERA,VERAO
20211001,8.983,9.811,10.676,11.326,11.327,10.9,11.394,11.496,11.337,11.907,12.241,12.527,12.551,12.27,12.33,11.697,11.353,11.633,11.654,11.16,10.89,10.131,9.748,8.748,7.587,7.103,5.49,5.111,5.547,4.843,5.792,5.616,5.55,5.95,6.262,6.289,7.219,7.685,7.297,7.466,7.618,8.341,9.438,11.429,12.643,10.946,9.93,9.617,Caetité 2,PRIMAVERA,0,0,1,0
20211002,9.245,10.545,10.844,11.237,11.606,11.428,10.973,11.411,11.031,10.734,10.372,9.857,9.619,9.523,10.001,8.842,8.734,8.165,8.609,8.648,9.0,8.248,6.581,5.69,5.906,5.374,6.401,6.345,6.876,6.135,6.67,7.851,7.772,8.704,8.812,9.391,8.774,8.658,9.693,9.805,10.688,10.357,11.703,10.287,9.654,10.253,9.903,7.567,Caetité 2,PRIMAVERA,0,0,1,0
20211003,5.941,6.744,5.764,6.508,8.106,7.537,7.213,7.345,7.09,6.275,6.646,6.537,6.766,7.316,8.409,8.814,9.06,8.875,8.062,8.035,7.248,5.646,4.725,4.795,3.669,5.136,5.829,5.927,6.54,6.366,6.809,6.455,6.424,6.449,6.831,6.988,7.359,8.143,8.85,10.043,10.483,10.806,10.348,9.76,10.481,10.545,9.482,7.541,Caetité 2,PRIMAVERA,0,0,1,0
20211004,8.38,9.078,8.444,8.348,8.58,8.818,9.118,9.111,9.557,9.667,9.538,10.219,10.259,9.7,10.251,10.265,9.522,9.235,7.542,7.074,6.984,7.35,7.242,7.019,6.738,7.056,7.212,7.354,7.671,7.019,7.167,7.165,7.742,8.419,8.759,9.733,10.291,10.738,11.695,10.947,10.491,9.899,9.323,9.398,9.022,10.688,10.159,10.744,Caetité 2,PRIMAVERA,0,0,1,0
20211005,12.124,11.947,11.971,10.631,8.753,8.217,7.428,6.633,5.904,5.866,6.995,7.034,7.251,6.462,6.317,6.694,6.396,6.206,6.513,6.355,6.712,6.497,7.015,7.386,7.733,7.724,7.912,8.536,9.131,8.676,8.898,8.253,8.931,8.292,9.157,8.451,8.037,8.094,8.132,8.221,8.896,8.818,8.05,8.404,8.387,8.673,8.271,7.498,Caetité 2,PRIMAVERA,0,0,1,0
20211006,9.207,8.695,8.77,9.065,6.513,7.342,8.362,7.61,7.241,7.794,8.58,7.98,9.426,8.672,8.456,10.226,11.484,10.682,9.88,9.711,10.591,9.741,9.05,8.646,8.293,8.293,8.123,7.373,7.719,7.498,7.298,7.867,8.402,7.574,7.886,7.886,8.235,9.259,8.553,9.19,9.134,8.819,9.252,8.575,9.0,7.363,8.7,7.742,Caetité 2,PRIMAVERA,0,0,1,0
20211007,7.697,7.851,7.816,6.339,8.287,8.11,8.538,8.323,8.535,8.239,8.599,10.584,11.142,10.044,10.013,9.325,8.935,9.221,9.011,8.121,7.39,6.696,6.663,5.938,5.673,5.522,5.644,5.617,6.135,5.943,5.272,5.051,5.308,5.106,5.626,5.606,7.387,7.329,8.065,8.313,8.958,9.609,9.396,8.732,8.203,9.266,10.169,9.703,Caetité 2,PRIMAVERA,0,0,1,0
20211008,9.366,8.901,7.94,7.472,8.275,8.775,9.06,8.547,7.787,8.811,9.762,9.898,9.525,9.505,10.164,11.269,11.112,12.147,11.863,11.528,12.449,10.843,9.923,8.579,9.131,7.775,7.905,7.465,7.694,7.42,7.7,7.498,7.603,8.153,9.08,9.552,9.599,9.652,9.353,10.685,11.233,13.449,14.788,13.936,14.404,14.644,13.861,13.993,Caetité 2,PRIMAVERA,0,0,1,0
20211009,13.473,13.625,14.078,14.758,15.439,15.657,15.621,14.881,14.954,15.3,14.951,13.639,14.666,13.78,13.63,13.77,12.851,13.395,13.136,12.488,12.208,11.9,11.705,10.367,9.809,9.688,8.982,9.136,8.56,8.731,8.299,8.558,8.85,8.467,9.529,9.69,10.928,11.164,11.761,12.014,12.649,13.382,13.672,12.771,12.959,13.097,13.342,13.182,Caetité 2,PRIMAVERA,0,0,1,0
20211010,12.759,12.676,12.47,12.409,12.425,12.786,12.75,12.725,12.66,12.864,12.509,11.755,12.362,12.54,12.52,11.532,10.87,10.67,9.378,9.572,8.972,7.816,6.339,5.999,5.903,4.696,4.5,4.654,6.875,8.068,8.194,8.566,8.28,5.474,4.147,6.748,9.843,11.231,11.896,11.93,12.81,12.878,13.234,12.55,12.194,11.692,11.471,11.279,Caetité 2,PRIMAVERA,0,0,1,0
20211011,11.504,11.438,10.847,11.26,10.729,10.518,9.937,9.531,9.587,8.481,8.283,7.932,8.113,8.108,7.441,6.514,6.087,6.035,6.256,5.953,4.855,3.828,5.531,5.153,3.226,1.96,1.914,2.513,1.297,2.414,2.378,4.754,6.189,3.422,2.992,3.66,3.261,6.408,6.579,4.502,3.536,3.923,4.954,5.543,6.209,6.332,6.057,6.281,Caetité 2,PRIMAVERA,0,0,1,0
20211012,6.764,6.836,7.351,7.21,6.993,7.853,7.588,7.267,7.462,7.454,7.328,7.099,6.9,7.553,7.051,6.73,6.055,5.68,5.11,4.749,4.749,4.942,4.662,4.596,4.795,5.435,5.299,5.067,4.656,4.917,4.955,4.068,4.741,6.498,6.865,5.677,2.144,4.986,9.302,9.399,9.749,10.1,9.839,9.25,10.889,9.796,9.055,10.273,Caetité 2,PRIMAVERA,0,0,1,0
20211013,10.845,10.309,10.365,10.779,11.039,9.911,9.372,9.518,8.087,7.219,7.878,7.889,8.46,7.433,6.881,7.48,7.259,6.965,7.101,6.864,6.178,6.014,5.857,5.418,5.223,5.901,6.265,6.309,6.109,6.465,6.221,6.633,6.698,7.425,7.882,8.662,9.571,10.731,11.251,10.569,9.955,8.833,8.781,9.162,7.832,8.077,7.33,7.711,Caetité 2,PRIMAVERA,0,0,1,0
